Nr;Station;Ort;Latitude;Longitude;Erklärung
19;Fußball Bundesliga;Dortmund – Signal Iduna Park;514925;74517;Borussia Dortmunds Stadion mit der legendären „Gelben Wand“ steht für die Fankultur der Fußball-Bundesliga, die seit 1963 Millionen begeistert.
20;Westfälische Fachwerkstadt;Münster – Prinzipalmarkt;519628;76254;Münsters Prinzipalmarkt mit Giebelhäusern und Arkaden, Rathaus und Lambertikirche vereint mittelalterliche Baukunst und Wiederaufbau. Fahrräder und Friedensgeschichte prägen das Stadtbild.
21;Teutoburger Wald;Bielefeld – Sparrenburg;520302;85325;Die mittelalterliche Sparrenburg überragt Bielefeld am Rand des Teutoburger Waldes, der durch die Varusschlacht (9 n. Chr.) historisch bekannt ist.
22;Moderne Stadt;Hannover – Neues Rathaus;523759;9732;Hannovers wilhelminisches Neues Rathaus (1913) symbolisiert den Wiederaufbau der Stadt, die heute Messestandort und grüne Großstadt mit den Herrenhäuser Gärten ist.
23;Hannah Arendt;Hannover – H.-Arendt-Platz;523759;9732;Die politische Theoretikerin Hannah Arendt (1906–1975) wurde in Hannover geboren. Der Hannah-Arendt-Platz mahnt an Demokratie, Freiheit und Verantwortung.
24;Expo 2000;Hannover – Expo-Park;523728;97441;Die Expo 2000 war die erste Weltausstellung in Deutschland. Pavillons und Neubauten im Expo-Park erinnern an innovative Konzepte zu Mensch, Natur und Technik.
25;Schloss Herrenhausen;Hannover – Herrenhausen;523909;97335;Das rekonstruierte Schloss Herrenhausen liegt inmitten der berühmten barocken Herrenhäuser Gärten mit Wasserspielen und Botanischem Berggarten.
26;Braunschweig – Schloss;Braunschweig – Schloss;522689;105268;Die Fassade des im Krieg zerstörten Welfenschlosses wurde 2007 vor ein modernes Einkaufs- und Kulturzentrum gesetzt – ein Beispiel für Tradition im neuen Gewand.
27;Planetarium;Wolfsburg – Phaeno;524224;107864;Das von Zaha Hadid entworfene Phaeno Science Center inszeniert Naturphänomene interaktiv. Es ergänzt Wolfsburgs Autostadt und die VW-Historie um Wissenschaftserlebnisse.
28;Volkswagen-Gründung;Wolfsburg – Autostadt;524225;107864;1938 als Standort für den VW-Käfer gegründet, erzählt Wolfsburgs Autostadt mit Pavillons und Oldtimern die Geschichte des Konzerns und des Automobils.
29;Harz & Bergbau;Goslar – Altstadt;519045;104297;Die Fachwerk-Altstadt Goslars und das Erzbergwerk Rammelsberg bilden ein gemeinsames UNESCO-Welterbe: ein Jahrtausend Harzer Erzbergbau trifft mittelalterliche Kaiserstadt.
30;Universitätsstadt;Göttingen – Gänseliesel;515403;99357;Seit 1737 prägt die Universität Göttingen die Stadt. Der Gänseliesel-Brunnen gilt als „meistgeküsstes Mädchen der Welt“, denn frisch promovierte Doktoranden küssen die Statue.
31;Brüder Grimm;Kassel – Grimm-Museum;513155;94962;In Kassel sammelten Jacob und Wilhelm Grimm ihre weltberühmten Märchen. Die Grimmwelt präsentiert Manuskripte und sprachwissenschaftliches Erbe.
32;Documenta;Kassel – Friedrichsplatz;513118;9497;Die alle fünf Jahre stattfindende documenta macht Kassel zur Welthauptstadt zeitgenössischer Kunst und verwandelt die Stadt in ein riesiges Open-Air-Museum.
33;Landgrafenkunst;Kassel – Bergpark Wilhelmshöhe;513116;94797;Europas größter Hangpark mit Herkules-Statue und barocken Wasserspielen ist UNESCO-Welterbe und Zeugnis landgräflicher Gartenkunst.
34;Wartburgfest;Eisenach – Wartburg;509711;103277;1817 forderten Studenten auf der Wartburg nationale Einheit und Freiheitsrechte. Die Burg ist auch durch Luthers Bibelübersetzung berühmt.
35;Lutherische Kirchenkunst;Erfurt – Dom;509848;110299;Der gotische Erfurter Dom beherbergt die Gloriosa, größte freischwingende mittelalterliche Glocke. Hier wurde Martin Luther 1507 zum Priester geweiht.
36;Goethe;Weimar – Goethe-Haus;509795;11329;Goethes Wohnhaus zeigt originale Räume und Sammlungen des Dichters, der mit Schiller die Weimarer Klassik prägte.
37;Hyperinflation 1923;Weimar – DNT;509793;113292;Die Geldentwertung der Weimarer Republik erreichte 1923 ihren Höhepunkt: Preise explodierten, Ersparnisse verfielen – ein Trauma deutscher Wirtschaftsgeschichte.
38;Rennsteig;Thüringer Wald – Rennsteig;505451;112147;Der 170 km lange Rennsteig-Kammweg ist ältester Fernwanderweg Deutschlands und verbindet Kultur- und Naturlandschaften des Thüringer Waldes.
39;Glasmacherkunst;Lauscha – Glasbläserwerkstatt;505477;111681;Lauscha gilt als Geburtsort der gläsernen Christbaumkugel. Seit 1597 pflegen Familienbetriebe hier die Kunst des Glasblasens.
40;Barockschloss;Coburg – Veste Coburg;502599;109644;Die Veste Coburg, eine der größten Burgen Deutschlands, beherbergt Kunstsammlungen und war 1530 Luther-Fluchtort.
41;Biertradition;Kulmbach – Mönchshof;501011;11438;Kulmbach präsentiert im Bayerischen Brauereimuseum Starkbier- und Eisbock-Tradition und feiert jährlich die Bierwoche.
42;Biertradition2;Kulmbach – Brauerei;501011;11438;Fränkische Braukunst mit Reinheitsgebot: Kulmbacher Starkbiere genießen internationalen Ruf und prägen lokale Identität.
43;Markgrafenkunst;Bayreuth – Opernhaus;499487;11576;Das Markgräfliche Opernhaus (1748) ist ein vollständig erhaltenes Barocktheater und UNESCO-Welterbe – ein Juwel höfischer Festkultur.
44;Richard Wagner;Bayreuth – Festspielhaus;499451;115908;Das 1876 eröffnete Festspielhaus, akustisch auf Wagners Musikdramen ausgelegt, zieht Opernliebhaber aus aller Welt zu den Bayreuther Festspielen.
45;Fränkische Schweiz;Pottenstein – Teufelshöhle;497631;114062;Die zerklüftete Karstlandschaft mit Tropfsteinhöhlen und Burgruinen ist seit dem 19. Jh. ein beliebtes Wander- und Klettergebiet.
46;UNESCO-Altstadt;Bamberg – Altstadt;498917;108852;Bambergs sieben-hügelige Altstadt mit romanischem Dom und Rathaus in der Regnitz gilt als größtes unzerstörtes historisches Stadtbild Deutschlands.
47;Weihnachtsmarkt;Nürnberg – Hauptmarkt;494542;110773;Der Nürnberger Christkindlesmarkt, seit dem 16. Jh. belegt, lockt mit Lebkuchen und Holzspielzeug jährlich zwei Millionen Besucher.
48;Holocaust-Dokumentation;Nürnberg – Memorium;494528;11078;Das Memorium Nürnberger Prozesse erinnert in Saal 600 an die juristische Aufarbeitung der NS-Verbrechen und die Geburtsstunde des Völkerstrafrechts.
49;Bier Reinheitsgebot;Ingolstadt – Herzogskasten;48765;114257;1516 verkündeten bayerische Herzöge in Ingolstadt das Reinheitsgebot: Bier darf nur aus Wasser, Gerste, Hopfen bestehen – älteste Lebensmittelvorschrift der Welt.
50;Fußball Allianz Arena;München – Allianz Arena;482188;116247;Die 2005 eröffnete Allianz Arena mit licht­durch­lässiger Außenhaut ist Heim des FC Bayern und eines der markantesten Stadien Europas.
51;Olympia 1972;München – Olympiapark;48174;11546;"Die Spiele von 1972 setzten mit ihrer Zeltdach-Architektur neue Maßstäbe; das Attentat auf die israelische Mannschaft prägte die Erinnerung an das moderne Areal."
52;Sophie Scholl;München – LMU;4815;1158;Sophie Scholl verteilte 1943 Flugblätter der „Weißen Rose“ an der LMU. Heute mahnen Gedenktafeln an ihren mutigen Widerstand gegen das NS-Regime.
53;Oktoberfest;München – Theresienwiese;481312;115497;Seit 1810 feiert München das Oktoberfest. Riesige Bierzelte, Fahrgeschäfte und Trachten ziehen jährlich Millionen Besucher an.
54;Schloss Neuschwanstein;Schwangau – Neuschwanstein;475576;107498;König Ludwigs Märchenschloss (ab 1869) verkörpert romantischen Historismus in alpiner Kulisse und diente als Vorbild für das Disney-Schloss.
55;Zeppelinflug 1900;Friedrichshafen – Zeppelin Museum;476514;9478;Hier startete 1900 der erste Zeppelin der Welt. Das Museum zeigt Exponate zur Luftschiffära, darunter ein Teilstück der „Hindenburg“.
56;Albert Einstein;Ulm – Einstein-Brunnen;484011;99876;Albert Einstein, 1879 in Ulm geboren, revolutionierte mit Relativitäts- und Quantentheorie die Physik. Der Brunnen erinnert an das Genie.
57;Cannstatter Wasen;Stuttgart – Wasen;487904;92183;Das Cannstatter Volksfest (seit 1818) ist nach dem Oktoberfest das zweitgrößte deutsche Bier- und Volksfest und zieht jährlich rund vier Millionen Gäste an.
58;Heidelberg – Schloss;Heidelberg – Schloss;494106;87151;Die romantische Schlossruine über dem Neckar war Residenz der Kurfürsten. Ihre Renaissance-Fassaden und das Große Fass begeisterten schon Goethe.
59;Carl Benz;Mannheim – Carl-Benz-Haus;494875;8466;Carl Benz baute 1885/86 in Mannheim den ersten praxistauglichen Motorwagen. Bertha Benz’ erste Fernfahrt bewies seine Alltagstauglichkeit.
60;Barocke Stadt;Würzburg – Residenz;497913;99534;Die Würzburger Residenz (1720–1744) mit Tiepolo-Fresko und Spiegelsaal gilt als Hauptwerk des süddeutschen Barock und ist UNESCO-Welterbe.
61;Schwarzwälder Kirschtorte;Triberg – Café Schäfer;481275;82364;Im Schwarzwald entstand die Sahne-Schokoladen-Kirschtorte mit Kirschwasser. Das Café Schäfer serviert sie nach historischem Rezept.
62;Aachener Dom;Aachen – Dom;507753;60839;Karls Pfalzkapelle (8./9. Jh.) und gotischer Chor sind erstes deutsches UNESCO-Welterbe. Über 30 deutsche Könige wurden hier gekrönt.
63;UNESCO Dombezirk;Aachen – Dombezirk;50776;60839;Der Aachener Domschatz mit Karlsschrein und Marienschrein zählt zu den bedeutendsten Kirchenschätzen Europas und ergänzt den Weltkulturerbe-Dom.
64;Lutherstadt;Eisleben – Gedenkstätten;515281;115487;Luthers Geburts- und Sterbehäuser in Eisleben sind UNESCO-Welterbe und dokumentieren Leben und Wirkung des Reformators.
65;Architektur­moderne;Dessau – Meisterhäuser;518349;122424;Die Meisterhäuser (1925/26) von Gropius für Bauhaus-Lehrer wie Kandinsky repräsentieren funktionale Bauhaus-Architektur im Originalzustand.
66;Bauhaus-Gründung;Dessau – Bauhaus;518367;122428;Das Bauhausgebäude (1926) mit Glasfassade steht für die Verschmelzung von Kunst, Handwerk und Industrie – ein Meilenstein der Moderne.
67;Reformation;Lutherstadt Wittenberg – Schlosskirche;518661;126477;Luthers 95 Thesen von 1517 an der Schlosskirche lösten die Reformation aus und veränderten Kirche und Gesellschaft nachhaltig.
68;Jazzfest;Leipzig – Moritzbastei;513393;123747;Die Leipziger Jazztage (seit 1976) holen internationale Jazzgrößen in historische Spielstätten wie die unterirdische Moritzbastei.
69;Johann Sebastian Bach;Leipzig – Bach-Museum;513388;123723;Bach wirkte ab 1723 als Thomaskantor in Leipzig. Das Museum zeigt Handschriften und Instrumente des Barockkomponisten.
70;Völkerschlacht 1813;Leipzig – Denkmal;513128;124134;Das 91 Meter hohe Völkerschlachtdenkmal erinnert an Napoleons Niederlage in der größten Schlacht vor dem Ersten Weltkrieg.
71;Meißen Porzellan;Meißen – Porzellanmuseum;511642;134827;1710 entstand in Meißen das erste europäische Hartporzellan. Das Museum zeigt Meisterstücke mit den gekreuzten Schwertern.
72;Forschung & Flug;Berlin – Dt. Technikmuseum;523948;130644;Das Technikmuseum präsentiert Lokomotiven, Schiffe und einen „Rosinenbomber“ auf dem Dach – Technikgeschichte zum Anfassen.
73;Preußische Pracht;Potsdam – Schloss Sanssouci;523969;130586;"Friedrich der Große ließ Sanssouci (1747) als Rokoko-Sommerresidenz über Weinbergterrassen erbauen; Park und Schlösser sind UNESCO-Welterbe."
74;Filmgeschichte;Potsdam – Filmpark Babelsberg;524039;130682;Die Babelsberger Studios (ab 1912) sind Wiege des deutschen Films. Der Filmpark gewährt Einblicke in Kulissen, Stunts und Tricktechnik.
75;Berliner Luftbrücke;Berlin – Tempelhof;524731;13403;1948/49 versorgten Rosinenbomber den blockierten Westteil der Stadt über den Flughafen Tempelhof – ein Symbol westlicher Solidarität.
76;Kalter Krieg;Berlin – Checkpoint Charlie;525076;133904;Der bekannteste Berliner Grenzübergang war Schauplatz brisanter Panzerkonfrontationen zwischen USA und UdSSR im Oktober 1961.
77;Hauptstadtgeschichte;Berlin – Brandenburger Tor;525163;133777;Das klassizistische Tor (1791) stand bis 1989 an der Mauer und wurde nach dem Fall zum Symbol der deutschen Einheit.
78;Techno-Kultur;Berlin – Berghain;525114;13439;Der Club Berghain in einem ehemaligen Kraftwerk gilt als Mekka des Techno: kompromisslose Türpolitik und erstklassiger Sound erzeugen Kultstatus.
79;Mauerfall;Berlin – East Side Gallery;525045;134408;Die bemalten 1,3 km Mauerreste zeigen über 100 Murals, die Freude über die friedliche Revolution von 1989 ausdrücken.
80;Parklandschaft;Fürstenberg/Havel – Schloss;53125;13093;Schloss Fürstenberg liegt in einer seen- und waldreichen Parklandschaft Nordbrandenburgs und spiegelt adlige Kultur in naturnaher Umgebung.
81;Brandenburgische Seen;Rheinsberg – Schloss;530913;129084;Schloss Rheinsberg am Grienericksee, einst Residenz Friedrichs des Großen, repräsentiert die idyllischen Seen des Ruppiner Landes.
82;Müritzeum;Waren – Müritzeum;535211;126801;Deutschlands größtes Süßwasseraquarium informiert im Müritzeum über Flora und Fauna der Mecklenburgischen Seenplatte.
83;Hafengeschichte;Rostock – Alter Strom;540865;121095;Warnemündes Alter Strom zeigt mit Fischerbooten und Kapitänshäusern die maritime Tradition der Hansestadt Rostock.
84;Fischerdorf;Ahrenshoop – Künstlerkolonie;543996;124539;"Das ehemalige Fischerdorf Ahrenshoop wurde ab 1890 zur Künstlerkolonie; Reetdächer und Ostseelicht inspirieren Maler bis heute."
85;Stadterhebung;Stralsund – Altstadt;543126;130929;"Stralsunds Backsteingotik-Altstadt erhielt 1234 Stadtrecht; als Hanse-Hafen ist sie zusammen mit Wismar UNESCO-Welterbe."
86;Backsteingotik;Greifswald – Dom;540924;134022;Der Dom St. Nikolai (13. Jh.) dominiert Greifswalds Silhouette und verkörpert norddeutsche Backsteingotik und Hanse-Reichtum.
87;Nationalpark Jasmund;Rügen – Kreideküste;545406;135747;Die weißen Kreidefelsen und alten Buchenwälder des Nationalparks Jasmund sind UNESCO-Weltnaturerbe und Inspiration romantischer Maler.
88;Kaiserbäder Usedom;Usedom – Kaiserbäder;540536;142743;Ahlbeck, Heringsdorf, Bansin lockten seit 1900 mit Seebrücken und Bäderarchitektur das Berliner Bürgertum an die Ostsee.
89;UNESCO-Altstadt Wismar;Wismar – Altstadt;538923;114628;Giebelhäuser, Wasserkunst und Backsteinkirchen bezeugen Wismars Hanse-Vergangenheit und machten die Altstadt zum Weltkulturerbe.
90;Schwerin – Schloss;Schwerin – Schloss;536294;114154;Das romantische Insel-Schloss mit Türmen und goldenem Turmhelm ist Sitz des Landtags Mecklenburg-Vorpommerns und ein Märchenmotiv.
91;Backsteingotik Ost;Lübeck – Holstentor;538683;106873;Das spätgotische Holstentor (1464–1478) mit Zwillings­türmen ist Lübecks Wahrzeichen und erinnert an die Blüte der Hanse.
92;St. Michaelis;Hamburg – Michel;535496;99882;Der barocke Michel mit 132 m Turm bietet Seefahrern Orientierung und Hamburgern ein identitätsstiftendes Wahrzeichen.
93;Elbphilharmonie;Hamburg – Elbphilharmonie;535411;99847;Das 2017 eröffnete Konzerthaus kombiniert modernen Glaswellenbau auf historischem Kaispeicher und setzt akustische Maßstäbe.
94;Hafengeburtstag;Hamburg – Landungsbrücken;535462;99667;Europas größtes Hafenfest feiert seit 1189 die Hamburger Schifffahrt mit Ein- und Auslaufparaden von Segel- bis Kreuzfahrtschiffen.
95;Reeperbahn;Hamburg – St. Pauli;535503;99668;St. Paulis Reeperbahn ist weltberühmtes Vergnügungs- und Rotlichtviertel, wo in den 1960ern die Beatles ihren Durchbruch hatten.
96;Handball THW Kiel;Kiel – Wunderino Arena;543215;10131;THW Kiel, vielfacher deutscher und Champions-League-Sieger, sorgt in der Wunderino Arena für Handball-Atmosphäre auf Weltklasseniveau.
97;Kieler Woche;Kiel – Hörn;543233;10139;"Seit 1882 ist die Kieler Woche das größte Segelereignis der Welt; Regatten und maritimes Volksfest beleben eine Woche lang die Förde."
98;Max Planck;Kiel – Max-Planck-Schule;543433;101247;Der in Kiel geborene Physiker Max Planck (1858–1947) begründete mit seiner Quantentheorie die moderne Physik.
99;Sylt Strandkultur;Westerland – Strandpromenade;549063;83028;"Sylt vereint Kurtradition, endlose Sandstrände und Prominentenflair; Strandkörbe und Reetdörfer prägen Deutschlands bekannteste Nordseeinsel."
100;Moderne Kunst;Magdeburg – Kunstmuseum;521317;116394;Das Kunstmuseum im Kloster Unser Lieben Frauen verbindet romanische Architektur mit internationaler Gegenwartskunst – Symbol des modernen Magdeburg.
