Deutsch;Englisch
Die Nacht fängt im Winter früh an.;The night starts early in the winter.
Guten Morgen Antje.;Good morning Antje.
Guten Abend Frau Müller.;Good evening mrs Müller.
Guten Tag Herr Schneider.;Good day Herr Schneider.
Der Abend ist schön.;The evening is beautiful.
Am Mittag besuchen wir die Frau.;At noon we visit the woman.
Am Morgen stehe ich auf.;I stand up in the morning.
Der Vormittag ist von sieben bis zwölf Uhr.;the morning is from seven till twelve.
Der Nachmittag ist von dreizehn bis siebzehn Uhr.;The afternoon is from thirteen till seventeen.
der erste Monat im Jahr ist der Januar.;The first month of the year is january.
Der zweit Monat ist der Februar.;The second month of the year is february.
der dritte Monat ist der März.;the third month of the year is march.
der vierte Monat ist der April.;the fourth month of the year is april.
Der fünfte Monat ist der Mai.;the fifth month of the year is may.
Der sechste Monat ist der Juni.;the sixth month of the year is june.
Der siebente Monat ist der Juli.;the seventh month of the year is july.
Der achte Monat ist der August.;the eight month of the year is august.
Der neunte Monat ist der September.;the ninth month of the year is september.
Der zehnte Monat ist der Oktober.;the tenth month of the year is october.
Ich nehme die Hälfte von der Torte.;I take half of the pie.
Ein Drittel von neun sind drei.;A third of nine is three.
Ein Viertel von einem Euro sind fünfundzwanzig Cent.;A quarter of a euro are twentyfive cents.
Ein Fünftel von zehn sind zwei.;A fifth of ten are two.
Ein Sechstel von zwölf sind zwei.;A sixth of twelve are two.
Ein Siebtel von einundzwanzig sind drei.;A seventh of twentyone are three.
Ein Achtel von vierundzwanzig sind drei.;An eigth of twenty four are three.
Ein Neuntel von neunzig sind zehn.;A ninth of ninety are ten.
Ein Zehntel von hundert sind zehn.;A tenth of hundrer are ten.
Die Form des Geschenk ist ein Viereck.;The shape of the present is a quarter.
Das Kind zählt die Kreise.;The child counts the circles.
Ein Dreieck hat drei Ecken.;A triangle has three corners.
Ein Viereck hat vier Ecken.;A quadrangle has four corners.
Der Zeiger der Uhr ist auf der neun.;The pointer of the clock is on the nine.
Der Zeiger ist ein Teil der Uhr.;The pointer is a part of the clock.
Der Termin ist um acht Uhr abends.;The appointment is at eight o`clock in the evening.
essen;to eat
backen;to bake
trinken;to drink
frühstücken;to eat breakfast
kochen;to cook
bestellen;to order
einkaufen;to shop
kosten;to cost
verkaufen;to sell
kaufen;to buy
zahlen;to pay
anbieten;to offer
bitten;to say please
geben;to give
nehmen;to take
schließen;to close
öffnen;to open
wählen;to chose
können;to be able to /can
möchten;to like to
beschreiben;to describe
verfaulen;to rot/ to decay
zahlen;to pay
bekommen;get
reichen;to reach
schneiden;to cut
auswählen;to choose
wollen;to want
dabeihaben;to have with you
zu sein;to be closed
mögen;to like
der Hunger;the hunger
der Durst;the thirst
das Frühstück;the breakfast
das Mittagessen;the lunch
das Abendessen;the diner
das Glas;the glas
die Flasche;the bottle
das Geschirr;the tableware
die Tasse;the cup
die Untertasse;the saucer
der Teller;the plate
das Besteck;the silverware
das Messer;the knife
die Gabel;the fork
der Löffel;the spoon
das Essen;the food
der Geschmack;the taste
die Tüte;the bag
die Zigarette;the cigarette
das Feuerzeug;the lighter
das Streichholz;the match
der Kellner/ die Kellnerin;the waiter
die Speisekarte;the menu
der Verkäufer/ die Verkäuferin;the sales person
der Kunde/ die Kundin;the customer
der Wunsch;the wish
der Handel;the trade
der Kauf;the purchase
die Ernährung;the nutrition
die Mahlzeit;the meal
der Service;the service
mindestens;at least
viel;a lot
genug;enough
genau;exactly
sehr;very
ungefähr;approximately
wenig;a little
ein bisschen;a little
zu wenig;too little
zu viel;too much
etwas;something
nichts;nothing
kein;no
mehr;more
fast;almost
wieviel;how much
je;each
etwa;approximately
pro;per
das Gramm;one gramm
das Pfund;a pound
das Kilogramm;a kilogramm
Grad Celsius;one degree
der Milliliter;one mililitre
der Liter;one litre
ein halber Liter;half a liter
die Dose;the can
die Scheibe;the disc
die Butter;the butter
der Käse;the cheese
die Wurst;the sausage
das Ei;the egg
das Mehl;the flour
der Pfeffer;the pepper
das Salz;the salt
der Zucker;the sugar
das Öl;the oil
der Essig;the vinegar
die Nudeln;the noodles
der Reis;the rice
der Fisch;the fish
das Fleisch;the meat
das Geflügel;the poultry
das Brot;the bread
das Brötchen;the roll
der Kuchen;the cake
die Suppe;the soup
die Pommes frites;the french fries
die Schokolade;the chocolate
das Eis;the icecream
der Honig;the honey
der Schinken;the ham
die Marmelade;the jam
die Sahne;the cream
die Soße;the sauce
das Schnitzel;the schnitzel
die Lebensmittel;the foods
die Getränke;the drink
das Bier;the beer
der Wein;the vine
der Kaffee;the coffee
der Tee;the tea
die Milch;the milk
der Saft;the juice
das Mineralwasser;the mineral water
der Markt;the market
der Supermarkt;the supermarket
der Kiosk;the kiosk
die Bäckerei;the bakery
die Fleischerei;the butchers
der Frisör;the hairdressing
das café;the café
das Restaurant;the restaurant
das Geschäft;the store
der Geldautomat;the cash machine
das Angebot;the offer
der Preis;the price
die Kasse;the cashier
die Geldbörse;purse
die Brieftasche;the wallet
die Rechnung;the bill
die Kontonummer;the account number
die Bankleitzahl;Bank code
die Kreditkarte;the creditcard
das Geld;the money
der Euro;the euro
der Cent;the cent
die Bank;the bank
das Obst;the fruits
der Apfel;the apple
die Birne;the pear
die Orange;the orange
die Traube;the grapes
die Banane;the banana
die Zitrone;the lemon
die Ananas;the pineapple
die Kirsche;the cherry
die Pflaume;the plum
die Aprikose;the apricot
die Erdbeere;the strawberry
die Himbeere;the raspberry
die Brombeere;the blackberry
das Gemüse;the vegetables
die Aubergine;the eggplant
die Paprika;the paprika
der Spinat;the spinach
die Bohne;the bean
die Erbse;the pea
die Karotte;the carrot
der Mais;the corn
die Kartoffel;the potato
die Tomate;the tomato
die Gurke;the cucumber
die Zwiebel;the onion
die Zucchini;the zucchini
der Pilz;the mushroom
die Nuss;the nut
der Salat;the salad
gern;with pleasure
meiste;most
natürlich;of course
nicht;not
noch;yet
nur;only
zu;to
auf;on
aus;out
ab;off
aber;but
da;there
doch;yet, but
egal;doesnt matter
dabei;with it
satt;full
sauer;sour
süß;sweet
scharf;spicy
salzig;salty
billig;cheap
teuer;expensive
bar;cash
günstig;cheap
frisch;fresh
Die Kinder essen kein Gemüse.;The children don`t eat vegetables.
Die Frau backt einen Kuchen.;The woman bakes a cake.
Der Mann trinkt ein Bier aus der Flasche.;The man drinks beer out of the bottle.
Er frühstückt immer morgens.;He eats breakfast every morning.
Sie kocht für die Kinder.;She cooks for her children.
Du bestellst einen Tee im Cafe.;You order a tea in the cafe.
Das Kind kauft Süßigkeiten im Supermarkt ein.;The child buys sweets in the supermarket.
Zwei Kilo Paprika kosten sechs Euro.;Two kilogramm of paprika cost six euros.
Die Fleischerei verkauft Fleisch.;the butcher`s sells meat.
Er kauft eine Zwiebel für das Essen.;He buys an onion for the meal.
Ich zahle in bar.;I pay in cash.
Der Bäcker biete Brötchen für 30 Cent an.;The baker offers rolls for 30 cent.
ich bitte sie um eine Tüte.;I ask you for a bag please.
Geben sie mir bitte ein Kilo Tomaten.;Please give me one kilogram of tomatoes please.
Ich nehme eine Gurke bitte.;I take one cucumber please.
Der Supermarkt schließt um zwanzig Uhr.;The supermarket closes at 8 o'clock pm.
Das Geschäft öffnet um acht Uhr morgens.;The store opens at 8 o'clock in the morning.
Kann ich bitte zehn Euro haben.;Can i have 10 euros please.
Ich möchte keinen Zucker in meinen Kaffee bitte.;I don`t want sugar in my coffee please.
Beschreiben sie bitte das Restaurant.;Please describe the restaurant.
Die Kartoffeln verfaulen.;The potatoes rot.
Der Kunde zahlt an der Kasse.;The customer pays at the cashier.
Bekomme ich noch einen Kaffee bitte?;Can I get one more coffee please.
Ein bisschen Salz reicht.;A little bit of salt is enough.
Schneiden sie die Pizza bitte in acht Teile.;Please cut the pizza into 8 parts.
Wählen sie bitte aus.;Choose please.
Wollen sie mehr Zucker?;Do you want more sugar.
Haben sie eine Tüte dabei?;You have a bag with you?
Der Supermarkt ist schon zu.;The supermarket is already closed.
Das Kind mag Süßigkeiten.;The child likes sweets.
Obst ist gut für Kinder.;Fruits are good for children.
Die Frauen essen Äpfel.;The women eat apples.
Ich nehme zwei Birnen bitte.;I take two pears please.
Bekomme ich noch eine Orange bitte.;Can I get another orange please.
Wein ist aus Trauben.;Vine is made of grapes.
Die Banane kommt nicht aus Deutschland.;The banana is not from Germany.
Die Zitrone ist sehr sauer.;The lemon is very sour.
Die Frau schneidet die Ananas in vier Teile.;The woman cuts the pineapple in four parts.
Die Kirschen sind heute sehr günstig.;The cherry are very cheap today.
Ich habe nur Pflaumen in meiner Tüte.;I only have plums in my bag.
Es gibt heute keine Aprikosen im Supermarkt.;The are no apricots in the supermarket today.
Die Erdbeeren sind frisch.;The strawberries are fresh.
Himbeeren sind sehr süß.;Raspberries are very sweet.
Brombeeren sind sauer.;blackberries are sour.
Du hast noch Hunger.;You are still hungry.
Wer Durst hat trinkt Wasser.;Who has thirst drinks water.
Zum Frühstück gibt es heute Brötchen.;There are rolls for breakfast.
Ich esse Nudeln mit Tomatensoße zum Mittagessen.;I eat noodles with tomato sauce for lunch.
In Deutschland essen wir Brot zum Abendessen.;In Germany we eat bread for diner.
Ich möchte ein Glas Bier bitte.;I want one glass of beer please.
Trinken sie eine ganze Flasche?;Do you drink one full bottle.
Das Geschirr ist sehr teuer.;The tableware is very expensive.
Das Kind trinkt eine Tasse Milch.;The child drinks one cup of milk.
Geben sie mir bitte eine Untertasse für meinen Tee.;Give me a saucer for my tea please.
Ich habe noch kein Fleisch auf meinem Teller.;I dont have meat on my plate yet.
Sie isst mit Besteck.;She eats with silverware.
Die Frau schneidet das Fleisch mit einem Messer.;The woman cuts the meat with a knife.
Wir essen unsere Kartoffeln mit der Gabel.;We eat our potatoes with a fork.
Ich esse die Soße mit dem Löffel.;I eat the sauce with the spoon.
Das Essen in dem Restaurant ist sehr gut.;The food in the restaurant is very good.
Die Soße hat keinen Geschmack.;The sauce has no taste.
Geben sie mir noch eine Tüte.;Give me one more bag please.
Ich kaufe mir Zigaretten am Kiosk.;I buy my cigarettes at the kiosk.
Geben sie mir bitte ihr Feuerzeug.;Give me your lighter please.
Die Streichhölzer kosten nichts.;The matches cost nothing.
Der Kellner kommt mit der Speisekarte;The waiter comes with the menu.
Der Verkäufer gibt dem Kind ein bisschen Schokolade.;The seller gives the child a little bit of chocolate.
Der Kunde zahlt an der Kasse.;The customer pays at the cashier.
Haben sie noch einen Wunsch?;Do you have another wish?
Das Restaurant kauft die Lebensmittel im Handel.;The restaurant buys the foods in the wholesale.
Das ist kein guter Kauf.;That is not a good purchase.
Deine Ernährung ist schlecht.;Your nutrition is bad.
Ich esse drei Mahlzeiten am Tag.;I eat three meals every day.
Der Service im Restaurant ist sehr schlecht.;The service in the restaurant is very bad.
Trinken sie mindestens zwei Liter am Tag.;Drink at least two liter every day.
Ich möchte meinen Kaffee mit viel Zucker.;I want my coffee with a lot of sugar.
Ist genug Salz an der Soße?;Is there enough salt in the sauce?
Ich nehme genau hundert gramm Nüsse.;I take exactly hundred gramms of nuts.
Sehr viele Kinder mögen Schokolade.;Many children like chocolate.
Ich möchte ungefähr ein Pfund Spinat.;I want around one pound of spinach.
Ich möchte nur wenig Zucker.;I want just a little bit of sugar.
Ich spreche ein bisschen deutsch.;I speak a little bit of German.
Das ist zu wenig Milch.;This is too little milk.
Er trinkt zu viel Bier.;He drinks too much beer.
Geben sie mir etwas Sahne bitte.;Give me some cream please.
Ich esse nichts im Restaurant.;I eat nothing in the restaurant.
Du isst keine Pommes Frites.;You dont eat french fries.
Er möchte mehr Honig bitte.;He wants more honey please.
Das sind fast zwei Kilo Tomaten.;These are almost two Kilogramms of Tomatoes.
Wieviele Gurken möchten sie?;How many cucumbers do you want?
Die Tomaten kosten drei Euro je Kilo.;The tomatoes cost three euros per Kilogramm.
Geben sie etwa dreihundert Gramm Mehl an die Soße.;Add about three hundred Gramms of flour to the sauce.
Pro Flasche kostet der Wein acht Euro.;Each bottle of vine costs eight euros.
Zweihundert Gramm Fleisch bitte.;Two hundred gramms of meat please.
Fünfhundert Gramm sind ein Pfund.;Five hundred gramms are one pound.
Zwei Pfund sind ein Kilogramm.;Two pounds are one Kilogramm.
Wasser kocht bei hundert Grad Celsius.;Water boils at a hundred degree celsius.
tausend Mililiter sind ein Liter.;a thousand mililiter are one liter.
Wir trinken zwei Liter Wasser am Tag.;We drink two liters of water every day.
Der Mann trinkt einen halben Liter Wein.;The man drinks half a liter of vine.
Der Fleischer verkauft die Wurst in der Dose.;The butcher`s sells sausage out of the can.
Zwei Scheiben Wurst bitte.;Two slices of sausage please.
Möchtest du Butter auf dein Brot?;You want butter on your bread?
Der Käse kommt aus Deutschland.;The cheese is from Germany.
Ich schneide die Wurst in Scheiben.;I cut the sausage into slices.
Die Frau kocht ein Ei für das Kind.;The woman cooks an egg for the child.
Geben sie ein bisschen Mehl in die Soße.;Add a little bit of flour to the sauce.
Reichst du mir bitte den Pfeffer.;Can you pass me the pepper please.
Nur ein bisschen Salz bitte.;Just a little bit of salt please.
Ich möchte ein bisschen Zucker in meinen Tee bitte.;I want a little bit of sugar in my tea please.
Sie kocht mit viel Öl.;She cooks with a lot of oil.
Es ist viel Essig am Salat.;There is a lot of vinegar in the salad.
Die Nudeln kochen in zwei Minuten.;The noodles cook in two minutes.
Ich nehme noch einen Teller Reis bitte.;I take one more plate with rice please.
Der Fisch ist sehr frisch.;The fish is very fresh.
